Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,957,1,2024-10-23,GSW,@,POR,"W, 140-104",*,25:04,4,10,0.4,3,7,0.429,1,3,0.333,0.55,6,6,1,0,9,9,10,2,0,2,0,17,21.3,23
2,958,2,2024-10-25,GSW,@,UTA,"W, 127-86",*,27:25,7,20,0.35,4,13,0.308,3,7,0.429,0.45,2,2,1,0,3,3,4,2,0,3,3,20,10.3,22
3,959,3,2024-10-27,GSW,,LAC,"L, 104-112",*,26:42,6,11,0.545,4,7,0.571,2,4,0.5,0.727,2,2,1,0,4,4,6,2,1,6,1,18,14.4,2
4,960,7,2024-11-04,GSW,@,WAS,"W, 125-112",*,24:05,7,15,0.467,4,9,0.444,3,6,0.5,0.6,6,6,1,1,2,3,6,0,0,2,1,24,19.4,9
5,961,8,2024-11-06,GSW,@,BOS,"W, 118-112",*,34:23,8,17,0.471,4,9,0.444,4,8,0.5,0.588,7,7,1,0,7,7,9,4,1,3,2,27,27.6,7
6,962,9,2024-11-08,GSW,@,CLE,"L, 117-136",*,23:46,5,10,0.5,1,4,0.25,4,6,0.667,0.55,1,1,1,0,1,1,2,2,0,6,0,12,4.7,-25
7,963,10,2024-11-10,GSW,@,OKC,"W, 127-116",*,36:30,13,23,0.565,7,13,0.538,6,10,0.6,0.717,3,4,0.75,1,4,5,7,1,1,3,2,36,29.4,21
8,964,11,2024-11-12,GSW,,DAL,"W, 120-117",*,34:52,14,27,0.519,5,12,0.417,9,15,0.6,0.611,4,5,0.8,0,6,6,9,1,2,4,2,37,29,24
9,965,12,2024-11-15,GSW,,MEM,"W, 123-118",*,26:01,4,9,0.444,3,7,0.429,1,2,0.5,0.611,2,2,1,1,7,8,5,4,0,3,2,13,14.8,9
10,966,13,2024-11-18,GSW,@,LAC,"L, 99-102",*,32:23,10,21,0.476,6,15,0.4,4,6,0.667,0.619,0,0,,1,6,7,6,0,1,3,1,26,19.3,-5
11,967,14,2024-11-20,GSW,,ATL,"W, 120-97",*,30:12,7,10,0.7,4,6,0.667,3,4,0.75,0.9,5,5,1,0,4,4,8,2,1,5,0,23,23.3,27
12,968,15,2024-11-22,GSW,@,NOP,"W, 112-108",*,33:08,6,13,0.462,4,7,0.571,2,6,0.333,0.615,3,3,1,0,7,7,7,1,1,4,3,19,15.8,4
13,969,16,2024-11-23,GSW,@,SAS,"L, 94-104",*,32:00,5,16,0.313,3,10,0.3,2,6,0.333,0.406,1,1,1,2,5,7,5,0,0,3,1,14,7.8,4
14,970,17,2024-11-25,GSW,,BRK,"L, 120-128",*,29:28,8,17,0.471,8,16,0.5,0,1,0,0.706,4,4,1,0,4,4,7,1,0,3,0,28,23.4,-4
15,971,19,2024-11-30,GSW,@,PHO,"L, 105-113",*,32:24,8,21,0.381,3,10,0.3,5,11,0.455,0.452,4,5,0.8,1,6,7,4,0,0,0,1,23,16,4
16,972,20,2024-12-03,GSW,@,DEN,"L, 115-119",*,34:18,8,23,0.348,4,15,0.267,4,8,0.5,0.435,4,4,1,1,6,7,11,0,0,5,0,24,16.3,5
17,973,22,2024-12-06,GSW,,MIN,"L, 90-107",*,32:08,6,17,0.353,3,9,0.333,3,8,0.375,0.441,8,8,1,1,1,2,4,0,0,3,0,23,14.3,-3
18,974,23,2024-12-08,GSW,,MIN,"W, 114-106",*,34:36,8,18,0.444,5,11,0.455,3,7,0.429,0.583,9,11,0.818,0,4,4,8,1,0,3,0,30,24.6,14
19,975,24,2024-12-11,GSW,@,HOU,"L, 90-91",*,33:40,8,17,0.471,3,9,0.333,5,8,0.625,0.559,0,1,0,1,2,3,5,2,1,1,0,19,16.4,4
20,976,25,2024-12-15,GSW,,DAL,"L, 133-143",*,35:26,9,19,0.474,7,13,0.538,2,6,0.333,0.658,1,1,1,0,5,5,10,1,0,2,1,26,23.4,-10
21,977,26,2024-12-19,GSW,@,MEM,"L, 93-144",*,24:22,0,7,0,0,6,0,0,1,0,0,2,2,1,0,3,3,1,1,1,2,0,2,-1.6,-41
22,978,27,2024-12-21,GSW,@,MIN,"W, 113-103",*,34:13,10,21,0.476,7,16,0.438,3,5,0.6,0.643,4,5,0.8,0,3,3,10,1,0,1,1,31,27.4,20
23,979,28,2024-12-23,GSW,,IND,"L, 105-111",*,35:25,2,13,0.154,2,9,0.222,0,4,0,0.231,4,4,1,0,5,5,7,0,3,3,1,10,6.8,6
24,980,29,2024-12-25,GSW,,LAL,"L, 113-115",*,35:37,14,24,0.583,8,15,0.533,6,9,0.667,0.75,2,2,1,0,1,1,6,0,0,4,3,38,26.1,-1
25,981,31,2024-12-28,GSW,,PHO,"W, 109-105",*,35:03,9,22,0.409,4,13,0.308,5,9,0.556,0.5,0,0,,2,4,6,6,1,0,5,3,22,11.8,20
26,982,32,2024-12-30,GSW,,CLE,"L, 95-113",*,29:05,4,14,0.286,3,11,0.273,1,3,0.333,0.393,0,0,,0,2,2,3,1,1,1,1,11,5.8,-2
27,983,33,2025-01-02,GSW,,PHI,"W, 139-105",*,29:49,11,15,0.733,8,8,1,3,7,0.429,1,0,0,,1,5,6,10,1,0,2,1,30,31.7,32
28,984,35,2025-01-05,GSW,,SAC,"L, 99-129",*,29:42,8,12,0.667,4,8,0.5,4,4,1,0.833,6,6,1,0,7,7,0,1,0,4,3,26,18.7,-17
29,985,36,2025-01-07,GSW,,MIA,"L, 98-114",*,33:24,11,22,0.5,8,17,0.471,3,5,0.6,0.682,1,1,1,0,7,7,0,1,2,4,2,31,19.7,-10
30,986,37,2025-01-09,GSW,@,DET,"W, 107-104",*,36:08,5,21,0.238,2,14,0.143,3,7,0.429,0.286,5,5,1,1,8,9,6,2,0,3,0,17,10.6,-14
31,987,39,2025-01-13,GSW,@,TOR,"L, 101-104",*,35:00,9,17,0.529,4,10,0.4,5,7,0.714,0.647,4,4,1,1,6,7,7,1,0,4,2,26,21.3,0
32,988,40,2025-01-15,GSW,@,MIN,"W, 116-115",*,37:20,10,21,0.476,7,12,0.583,3,9,0.333,0.643,4,4,1,1,0,1,8,1,0,1,1,31,26.2,-1
33,989,41,2025-01-18,GSW,,WAS,"W, 122-114",*,34:14,10,22,0.455,4,14,0.286,6,8,0.75,0.545,2,2,1,1,4,5,6,1,1,1,1,26,21,7
34,990,42,2025-01-20,GSW,,BOS,"L, 85-125",*,27:27,6,16,0.375,4,12,0.333,2,4,0.5,0.5,2,2,1,0,3,3,4,2,0,3,3,18,10.7,-15
35,991,43,2025-01-22,GSW,@,SAC,"L, 117-123",*,33:50,6,11,0.545,1,4,0.25,5,7,0.714,0.591,1,1,1,1,2,3,12,0,0,3,1,14,15,2
